Row Labels,Sum of visitors,,
Adilabad,32,,
2016,10,,
2017,11,,
2018,5,,
2019,6,,
Bhadradri Kothagudem ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Hyderabad,1044898,,
2016,163631,,
2017,247179,,
2018,314788,,
2019,319300,2025,662186.5
Jagtial ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Jangaon ,2,,
2016,2,,
2017,0,,
2018,0,,
2019,0,,
Jayashankar Bhoopalpally,1252,,
2016,86,,
2017,582,,
2018,539,,
2019,45,,
Jogulamba Gadwal ,945,,
2016,45,,
2017,305,,
2018,300,,
2019,295,,
Kamareddy ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Karimnagar ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Khammam,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Komaram Bheem Asifabad,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Mahabubabad ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Mahbubnagar,2282,,
2016,868,,
2017,520,,
2018,454,,
2019,440,,
Mancherial,10,,
2016,0,,
2017,0,,
2018,0,,
2019,10,,
Medak ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Medchal ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Mulugu,575,,
2019,575,,
Nagarkurnool ,761,,
2016,29,,
2017,311,,
2018,222,,
2019,199,,
Nalgonda,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Narayanpet,5,,
2019,5,,
Nirmal,2,,
2016,0,,
2017,0,,
2018,2,,
2019,0,,
Nizamabad,5,,
2016,0,,
2017,2,,
2018,2,,
2019,1,,
Peddapalli,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Rajanna Sircilla ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Ranga Reddy,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Sangareddy ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Siddipet,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Suryapet,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Vikarabad,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Wanaparthy ,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Warangal (Rural),306,,
2016,0,,
2017,306,,
2018,0,,
2019,0,,
Warangal (Urban),8821,,
2016,1899,,
2017,2630,,
2018,1842,,
2019,2450,,
Yadadri Bhongir,0,,
2016,0,,
2017,0,,
2018,0,,
2019,0,,
Grand Total,1059896,,
